Maðr;Maður
er;er
nefndr;nefndur
Þórarinn;Þórarinn
Jónsson;Jónsson
,;,
bróðir;bróðir
Orms;Orms
,;,
góðr;góður
drengr;drengur
.;.
Hann;Hann
var;var
ekki;ekki
jafnmikill;jafnmikill
vinr;vinur
Sturlunga;Sturlunga
sem;sem
Ormr;Ormur
.;.
Hann;Hann
var;var
þar;þar
kominn;kominn
at;að
heimboði;heimboði
.;.
Hann;Hann
verðr;verður
nú;nú
varr;var
þessar;þessar
ætlanar;ætlanar
,;,
ok;og
nú;nú
stendr;stendur
hann;hann
upp;upp
ór;úr
rekkju;rekkju
sinni;sinni
ok;og
gengr;gengur
til;til
rekkju;rekkju
Orms;Orms
.;.
Haran;Haran
fagnar;fagnar
bróður;bróður
sínum;sínum
vel;vel
ok;og
fréttir;fréttir
at;að
erendum;erindum
.;.
„;„
Smá;Smá
ein;ein
eru;eru
erendi;erindi
at;að
svá;svo
búnu;búnu
.;.
Ek;Ég
vil;vil
forvitnast;forvitnast
um;um
viðtöku;viðtöku
við;við
Aroni;Aroni
,;,
hvárt;hvort
hon;hon
er;er
svá;svo
ógeðlig;ógeðleg
sem;sem
flutt;flutt
er;er
,;,
því;því
at;að
mér;mér
er;er
heldr;heldur
óþekkt;óþekkt
,;,
at;að
honum;honum
sé;sé
þannig;þannig
fagnat;fagnað
,;,
með;með
því;því
at;að
hann;hann
er;er
hér;hér
kominn;kominn
með;með
öllum;öllum
ókunnum;ókunnum
,;,
en;en
barn;barn
at;að
aldri;aldri
ok;og
hvergi;hvergi
nær;nær
gróinn;gróinn
at;að
sárum;sárum
.;.
“;“
Ormr;Ormur
segir;segir
:;:
„;„
Oft;Oft
mælist;mælist
yðr;yður
vel;vel
.;.
Vil;Vil
ek;ég
þó;þó
stundum;stundum
meira;meira
ráða;ráða
.;.
“;“
Þykkir;Þykir
nú;nú
sinn;sinn
veg;veg
hvárum;hvárum
.;.
.;.
Eftir;Eftir
þetta;þetta
gengr;gengr
Þórarinn;Þórarinn
á;á
brott;brott
ok;ok
til;til
litlustofunnar;litlustofunnar
ok;og
fylgdarmaðr;fylgdarmaðr
hans;hans
með;með
honum;honum
,;,
snarar;snarar
frá;frá
lásinn;lásinn
ok;og
gengr;gengur
inn;inn
.;.
Aron;Aron
sitr;situr
á;á
pallinum;pallinum
ok;og
hefir;hefir
saxit;saxið
Tumanaut;Tumanaut
í;í
hendi;hendi
sér;sér
.;.
Hann;Hann
heilsar;heilsar
manninum;manninum
.;.
Þórarinn;Þórarinn
tekr;tekur
kveðju;kveðju
hans;hans
.;.
Þá;Þá
mælir;mælir
hann;hann
hljótt;hljótt
við;við
förunaut;förunaut
sinn;sinn
,;,
ok;og
maðrinn;maðurinn
gengr;gengur
fram;fram
ok;og
er;er
á;á
brott;brott
nökkura;nokkra
stund;stund
.;.
Aron;Aron
spyrr;spyr
nú;nú
þenna;þenna
mann;mann
at;að
nafni;nafni
,;,
en;en
hann;hann
segir;segir
heiti;heiti
sitt;sitt
.;.
Kannast;Kannast
Aron;Aron
nú;nú
við;við
ok;og
þykkist;þykist
varla;varla
vita;vita
,;,
hvert;hvert
erendi;erindi
hann;hann
niun;niun
þangat;þangað
eiga;eiga
.;.
Er;Er
honum;honum
á;á
nökkurr;nokkur
grunr;grunur
um;um
brautgöngu;brautgöngu
mannsins;mannsins
,;,
hvern;hvern
enda;enda
eiga;eiga
myndi;myndi
.;.
Nú;Nú
fréttir;fréttir
Þórarinn;Þórarinn
at;að
tíðendum;tíðindum
.;.
Aron;Aron
segir;segir
honum;honum
slíkt;slíkt
,;,
er;er
hann;hann
fréttir;fréttir
.;.
En;En
meðan;meðan
þeir;þeir
töluðu;töluðu
þetta;þetta
,;,
þá;þá
var;var
lokit;lokið
hurðu;hurð
,;,
ok;og
kom;kom
inn;inn
sami;sami
maðr;maðr
innar;innar
ok;og
hafði;hafði
dúnklæði;dúnklæði
í;í
fangi;fangi
sér;sér
ok;og
lagði;lagði
í;í
bekkinn;bekkinn
.;.
Því;Því
næst;næst
tók;tók
hann;hann
borðskutil;borðskutil
.;.
Þá;Þá
kom;kom
innar;innar
kona;kona
með;með
fæðslu;fæðslu
.;.
Biðr;Biður
Þórarinn;Þórarinn
Aron;Aron
til;til
matar;matar
ganga;ganga
ok;og
leggjast;leggjast
til;til
svefns;svefns
síðan;síðan
,;,
„;„
hvat;hvat
sem;sem
enn;enn
kann;kann
eftir;eftir
at;at
koma;koma
,;,
en;en
ek;ég
mun;mun
á;á
brott;brott
ganga;ganga
,;,
en;en
fylgdarmaðr;fylgdarmaður
minn;minn
skal;skal
hér;hér
sofa;sofa
í;í
nótt;nótt
.;.
“;“
En;En
þá;þá
er;er
Aron;Aron
var;var
mettr;mettur
,;,
lagðist;lagðist
hann;hann
niðr;niður
til;til
svefns;svefns
.;.
Ok;Og
þykkir;þykir
Aroni;Aroni
nökkuru;nokkru
blíðara;blíðara
en;en
hann;hann
hugði;hugði
til;til
.;.
Líðr;Líður
nú;nú
nóttin;nóttin
,;,
og;og
kemr;kemur
morginn;morgunn
,;,
ok;og
er;er
Þórarinn;Þórarinn
snemma;snemma
á;á
fótum;fótum
ok;og
vekr;vekur
upp;upp
fylgdarmenn;fylgdarmenn
sína;sína
ok;og
biðr;biður
þá;þá
upp;upp
standa;standa
ok;og
klæðast;klæðast
.;.
Þeir;Þeir
gera;gera
nú;nú
svá;svo
.;.
Þeir;Þeir
senda;senda
mann;mann
til;til
Arons;Arons
ok;og
biðja;biðja
hann;hann
upp;upp
standa;standa
ok;og
klæðast;klæðast
ok;og
vera;vera
við;við
búinn;búinn
,;,
