Maðr;Maður
hét;hét
Þorlákr;Þorlákur
ok;og
var;var
Ketilsson;Ketilsson
,;,
er;er
bjó;bjó
í;í
Hítardal;Hítardal
virðuligu;virðulegu
búi;búi
ok;og
var;var
göfugmenni;göfugmenni
mikit;mikið
.;.
Guðlaug;Guðlaug
hét;hét
kona;kona
hans;hans
ok;og
var;var
Eyjólfsdóttir;Eyjólfsdóttir
.;.
Hon;Hún
var;var
skörungr;skörungur
mikill;mikill
.;.
Þorlákr;Þorlákur
Ketilsson;Ketilsson
var;var
náfrændi;náfrændi
,;,
Sigríðar;Sigríðar
móður;móður
Arons;Arons
,;,
ok;og
góðr;góður
vinr;vinur
,;,
ok;og
sótti;sótti
Sigríðr;Sigríður
hann;hann
heim;heim
,;,
þá;þá
er;er
hon;hún
brá;brá
búi;búi
í;í
Miklaholti;Miklaholti
.;.
Fóru;Fóru
þangat;þangað
með;með
henni;henni
tveir;tveir
synir;synir
hennar;hennar
,;,
Aron;Aron
ok;og
Bárðr;Bárður
.;.
Var;Var
Aron;Aron
þá;þá
vel;vel
vaxinn;vaxinn
,;,
en;en
Bárðr;Bárður
vetrgamall;veturgamall
.;.
Tók;Tók
Þorlákr;Þorlákur
við;við
þeim;þeim
vel;vel
ok;og
sköruliga;skörulega
.;.
Sighvatr;Sighvatur
Sturluson;Sturluson
átti;átti
marga;marga
sonu;sonu
,;,
Tuma;Tuma
ok;og
Sturlu;Sturlu
ok;og
Þórð;Þórð
ok;og
aðra;aðra
,;,
fleiri;fleiri
,;,
þótt;þótt
þeir;þeir
sé;sé
hér;hér
eigi;eigi
nefndir;nefndir
.;.
Þorlákr;Þorlákur
ok;og
Sighvatr;Sighvatur
váru;voru
kærir;kærir
vinir;vinir
sín;sín
í;í
millum;millum
,;,
—;—
var;var
Sturla;Sturla
Sighvatsson;Sighvatsson
því;því
löngum;löngum
á;á
fóstri;fóstri
með;með
Þorláki;Þorláki
,;,
bæði;bæði
haldinn;haldinn
vel;vel
ok;og
ástsamliga;ástsamlega
.;.
Sturla;Sturla
var;var
inn;hinn
vænligasti;vænlegasti
maðr;maður
bæði;bæði
á;á
vöxt;vöxt
ok;og
allan;allan
vænleika;vænleika
.;.
Þeir;Þeir
vára;voru
kallaðir;kallaðir
jafnaldrar;jafnaldrar
Aron;Aron
ok;og
Sturla;Sturla
.;.
Því;Því
váru;voru
þeir;þeir
svá;svo
sem;sem
fóstbræðr;fóstbræður
.;.
.;.
Var;Var
ok;og
þann;þann
tíma;tíma
harla;harla
vel;vel
með;með
þeim;þeim
ok;og
þó;þó
nökkut;nokkuð
kappdrægt;kappdrægt
í;í
leikum;leikum
.;.
En;En
þá;þá
er;er
meir;meir
tók;tók
at;að
greinast;greinast
með;með
þeim;þeim
kumpánum;kumpánum
,;,
þá;þá
bauð;bauð
Helgi;Helgi
,;,
föðurbróðir;föðurbróðir
Arons;Arons
,;,
honum;honum
til;til
sín;sín
.;.
Ok;og
þat;þat
þá;þá
Aron;Aron
.;.
Ok;Og
þá;þá
er;er
Helgi;Helgi
fór;fór
í;í
fjörðu;fjörðu
vestr;vestur
at;að
fjárheimtum;fjárheimtum
sínum;sínum
,;,
fór;fór
Aron;Aron
,;,
frændi;frændi
hans;hans
,;,
með;með
honum;honum
.;.
Þeir;Þeir
kómu;komu
í;í
Flatey;Flatey
á;á
Breiðafirði;Breiðafirði
.;.
Þar;Þar
bjó;bjó
nafnfrægr;nafnfrægur
maðr;maður
,;,
Eyjólfr;Eyjólfur
Kársson;Kársson
.;.
Hann;Hann
átti;átti
þá;þá
konu;konu
,;,
er;er
Herdís;Herdís
hét;hét
[;[
ok;og
];]
var;var
Hrafnsdóttir;Hrafnsdóttir
.;.
Hon;Hún
var;var
náfrændkona;náfrændkona
.;.
Arons;Arons
Þau;Þau
buðu;buðu
Aroni;Aroni
til;til
sín;sín
,;,
ef;ef
Helgi;Helgi
færi;færi
utan;utan
um;um
sumarit;sumarið
,;,
sem;sem
hann;hann
hafði;hafði
[;[
heitit;heitið
];]
.;.
Þat;Það
þá;þá
Aron;Aron
[;[
ok;og
];]
var;var
með;með
Eyjólfi;Eyjólfi
tvá;tvo
vetr;vetur
ok;og
ástsamliga;ástsamlega
haldinn;haldinn
.;.
Eyjólfr;Eyjólfur
var;var
mikill;mikill
vinr;vinur
Guðmundar;Guðmundar
byskups;biskups
at;að
Hólum;Hólum
,;,
svá;svo
at;að
hann;hann
lagði;lagði
[;[
sitt;sitt
líf;líf
við;við
];]
hans;hans
líf;líf
,;,
þegar;þegar
hann;hann
þurfti;þurfti
