Þat;Það
er;er
nu;nú
þessu;þessu
næst;næst
at;að
Biarne;Bjarni
Heriulfsson;Herjólfsson
kom;kom
vtan;utan
af;af
Grænlande;Grænlandi
a;á
fund;fund
Æireks;Eiríks
jalls;jarls
ok;og
tok;tók
jall;jarl
vid;við
honum;honum
vel;vel
.;.
sagde;sagði
Biarne;Bjarni
fra;frá
ferdum;ferðum
sinum;sínum
er;er
hann;hann
hafde;hafði
lond;lönd
set;séð
ok;og
þotti;þótti
monnum;mönnum
hann;hann
verit;verið
hafa;hafa
vforuitinn;óforvitinn
er;er
hann;hann
hafde;hafði
ekki;ekki
at;að
segia;segja
af;af
þeim;þeim
londum;löndum
ok;og
fek;fékk
hann;hann
af;af
þui;því
nokkut;nokkuð
amæli;ámæli
.;.
Biarnne;Bjarni
gerdizst;gerðist
hirdmadr;hirðmaður
jalls;jarls
ok;og
for;fór
vt;út
til;til
Grænlandz;Grænlands
vm;um
sumarit;sumarið
eftir;eftir
.;.
var;var
nu;nú
mikil;mikil
vmræda;umræða
vm;um
landalæitan;landaleitina
.;.
Leifr;Leifur
son;sonur
Æireks;Eiríks
rauda;rauða
ór;úr
Brattahlijd;Brattahlíð
for;fór
a;á
fund;fund
Biarna;Bjarna
Heriulfssonar;Herjólfssonar
ok;og
keyfte;keypti
skip;skip
at;að
honum;honum
ok;og
red;réð
til;til
haseta;háseta
sua;svo
at;að
þeir;þeir
voru;voru
halfr;hálfur
fiorde;fjórði
tỏgr;tugur
manna;manna
saman;saman
.;.
Leifr;Leifur
bad;bað
fodur;föður
sinn;sinn
Æirek;Eirík
at;að
hann;hann
munde;mundi
enn;enn
firir;fyrir
ver;vér
fỏrinne;förinni
.;.
Æirekr;Eiríkur
taldizst;taldist
helldr;heldur
undan;undan
kuetzst;kveðst
þa;þá
vera;vera
hniginn;hniginn
j;í
alldr;aldri
ok;og
kuetzst;kveðst
minna;minna
mega;mega
vid;við
uose;vosi
aullu;öllu
en;en
var;var
.;.
Leifr;Leifur
quedr;kveður
hann;hann
enn;en
mundu;myndi
mestri;mestri
heill;heill
styra;stýra
af;af
þeim;þeim
frændum;frændum
.;.
ok;og
þetta;þetta
let;lét
Æirekr;Eiríkur
eftir;eftir
Leifi;Leifi
ok;og
ridr;ríður
heiman;heiman
þa;þá
er;er
þeir;þeir
eru;eru
at;að
þui;því
bunir;búnir
ok;og
var;var
þa;þá
skamt;skammt
at;að
fara;fara
til;til
skipsins;skipsins
drepr;drepur
hestrinn;hesturinn
fæti;fæti
sa;sá
er;er
Æirekr;Eiríkur
reid;reið
ok;og
fell;féll
hann;hann
af;af
bake;baki
ok;og
lestist;lestist
fotr;fótur
hans;hans
.;.
Þa;Þá
mællti;mælti
Æirekr;Eiríkur
.;.
ekki;ekki
mun;mun
mer;mér
ætlat;ætlað
at;að
finna;finna
lỏnd;lönd
fleire;fleiri
en;en
þetta;þetta
er;er
nu;nú
byggium;byggjum
ver;vér
.;.
munum;munum
uær;vér
nu;nú
ekki;ekki
leingr;lengur
fara;fara
aller;allir
samt;saman
.;.
For;Fór
Æirekr;Eiríkur
heim;heim
j;í
Brattahlid;Brattahlíð
.;.
en;en
Leifr;Leifur
redzst;réðst
til;til
skips;skips
ok;og
felagar;félagar
hans;hans
med;með
honum;honum
halfr;hálfur
fiorde;fjórði
tỏgr;tugur
manna;manna
.;.
þar;þar
uar;var
sudrmadr;suðurmaður
æinn;einn
j;í
ferd;ferð
er;er
Tyrker;Tyrkir
het;hét
.;.
nu;nú
biuggu;bjuggu
þeir;þeir
skip;skip
sitt;sitt
ok;og
sigldu;sigldu
j;í
haf;haf
þa;þá
er;er
þeir;þeir
voru;voru
bunir;búnir
ok;og
fundu;fundu
þa;þá
þat;það
land;land
fyst;fyrst
er;er
þeir;þeir
Biarnne;Bjarni
fundu;fundu
sidazst;síðast
.;.
þar;þar
sigla;sigla
þeir;þeir
at;að
lande;landi
ok;og
kostudu;köstuðu
akkerum;akkerum
ok;og
skutu;skutu
bate;báti
ok;og
foru;fóru
a;á
land;land
ok;og
sa;sjá
þar;þar
æigi;eigi
gras;gras
.;.
ioklar;jöklar
mykler;miklir
voru;voru
allt;allt
hit;hið
efra;efra
en;en
sem;sem
æin;ein
hella;hella
væri;væri
allt;allt
til;til
ioklanna;jöklanna
fra;frá
sionum;sjónum
ok;og
syndizst;sýndist
þeim;þeim
þat;það
land;land
vera;vera
gædalaust;gæðalaust
.;.
Þa;Þá
mællti;mælti
Leifr;Leifur
.;.
æigi;eigi
er;er
oss;oss
nu;nú
þat;það
ordit;orðið
um;um
þetta;þetta
land;land
sem;sem
Biarna;Bjarna
at;að
uer;vér
hafim;höfum
eigi;eigi
komit;komið
a;á
landit;landið
.;.
nu;nú
mun;mun
ek;ég
gefa;gefa
nafnn;nafn
landinu;landinu
ok;og
kalla;kalla
Helluland;Helluland
.;.
Sidan;Síðan
foru;fóru
þeir;þeir
til;til
skips;skips
.;.
eftir;eftir
þetta;þetta
sigla;sigla
þeir;þeir
j;í
haf;haf
ok;og
fundu;fundu
land;land
annat;annað
sigla;sigla
enn;enn
at;að
lande;landi
ok;og
kasta;kasta
akkerum;akkerum
skiota;skjóta
sidan;síðan
bate;báti
ok;og
ganga;ganga
a;á
landit;landið
.;.
þat;það
land;land
uar;var
slett;slétt
ok;og
skogi;skógi
uaxit;vaxið
ok;og
sandar;sandar
huitir;hvítir
vida;víða
þar;þar
sem;sem
