Nú;Nú
er;er
at;að
segja;segja
frá;frá
ferðum;ferðum
þeira;þeirra
feðga;feðga
,;,
Arons;Arons
ok;og
Bárðar;Bárðar
,;,
at;að
þeir;þeir
koma;koma
ofan;ofan
um;um
Kluftir;Kluftir
ok;og
sjá;sjá
niðr;niður
undir;undir
Ármannsfell;Ármannsfell
fjölda;fjölda
mikinn;mikinn
hrossa;hrossa
ok;og
manna;manna
ok;og
hugsa;hugsa
nökkut;nokkuð
fyrir;fyrir
sér;sér
ráðit;ráðið
ok;og
þykkir;þykir
eigi;eigi
ólíkligt;ólíklegt
,;,
at;að
þeir;þeir
Hafliði;Hafliði
myndi;myndi
þar;þar
sitja;sitja
fyrir;fyrir
ok;og
gæta;gæta
svá;svo
hvárrartveggja;hvorrartveggja
leiðarinnar;leiðarinnar
,;,
er;er
önnur;önnur
liggr;liggur
fram;fram
undir;undir
Ármannsfell;Ármannsfell
ok;og
hjá;hjá
Sleðaási;Sleðaási
,;,
en;en
önnur;önnur
liggr;liggur
austr;austur
yfir;yfir
hraun;hraun
undir;undir
Hrafnabjörg;Hrafnabjörg
ok;og
undir;undir
Reyðarmúla;Reyðarmúla
til;til
Gjábakka;Gjábakka
ok;og
svá;svo
austan;austan
um;um
hraun;hraun
til;til
búða;búða
.;.
Þeir;Þeir
Aron;Aron
gera;gera
þat;það
ráð;ráð
með;með
sér;sér
,;,
at;að
þeir;þeir
ríða;ríða
at;að
hitta;hitta
þessa;þessa
menn;menn
,;,
-;-
veit;veit
ek;ég
oss;oss
í;í
engum;engum
sökum;sökum
við;við
menn;menn
,;,
en;en
nökkurir;nokkurir
förunautar;förunautar
várir;vorir
skulu;skulu
ríða;ríða
síðar;síðar
ok;og
hugleiða;hugleiða
um;um
,;,
hvat;hvað
hverju;hverju
verðr;verður
,;,
ok;og
segja;segja
Þorgilsi;Þorgilsi
,;,
hvat;hvað
sem;sem
í;í
gerist;gerist
,;,
ef;ef
nökkut;nokkuð
er;er
tálmat;tálmap
um;um
ferð;ferð
vára;vára
.;.
Ok;Og
felmtið;felmtið
eigi;eigi
allmjök;allmjög
,;,
ok;og
vitið;vitið
með;með
sannleik;sannleik
áðr;áður
,;,
hvat;hvað
þér;þér
skuluð;skuluð
segja;segja
".""";"."""
Ok;Og
nú;nú
ríða;ríða
þeir;þeir
Bárðr;Bárður
inn;hinn
svarti;svarti
ok;og
Aron;Aron
,;,
sonr;sonur
hans;hans
,;,
ok;og
nökkurir;nokkrir
förunautar;förunautar
þeira;þeirra
þar;þar
at;að
fram;fram
,;,
er;er
flokkrinn;flokkurinn
var;var
fyrir;fyrir
.;.
Ok;Og
hinir;hinir
standa;standa
á;á
fætr;fætur
,;,
er;er
fyrir;fyrir
váru;váru
,;,
með;með
vápnum;vápnum
.;.
Ok;Og
er;er
síns;síns
vegar;vegar
hvárr;hvor
þeira;þeirra
leiddr;leiddur
,;,
ok;og
var;var
þröng;þröng
mikil;mikil
at;að
ger;gerður
,;,
svá;svo
at;að
hinir;hinir
máttu;máttu
eigi;eigi
sjá;sjá
fyrir;fyrir
þrönginni;þrönginni
,;,
hvat;hvað
um;um
sik;sig
var;var
,;,
ok;og
höfðu;höfðu
þat;það
fyrir;fyrir
satt;satt
,;,
at;að
þeir;þeir
væri;væri
allir;allir
gervir;gervir
handteknir;handteknir
,;,
ok;og
bundu;bundu
eigi;eigi
lengi;lengi
síðan;síðan
byr;byr
við;við
ok;og
riðu;riðu
aftr;aftur
síðan;síðan
skyndiliga;skyndilega
til;til
fundar;fundar
við;við
Þorgils;Þorgils
ok;og
sögðu;sögðu
snara;snara
sögu;sögu
mikla;mikla
,;,
at;að
eigi;eigi
mun;mun
tíðendalaust;tíðindalaust
vera;vera
.;.
Þorgils;Þorgils
mælti;mælti
:;:
hverjum;hverjum
er;er
tíðendum;tíðendum
at;að
segja;segja
"?""";"?"""
kunnum;kunnum
frá;frá
engum;engum
tíðendum;tíðindum
at;að
segja;segja
vísliga;víslega
",""";","""
-;-
en;en
sögðu;sögðu
frá;frá
því;því
,;,
hvar;hvar
þeir;þeir
Bárðr;Bárður
skildust;skildust
,;,
-;-
þar;þar
var;var
mikill;mikill
fjöldi;fjöldi
manna;manna
fyrir;fyrir
ofan;ofan
Sleðaás;Sleðaás
,;,
ok;og
þangat;þangað
riðu;riðu
þeir;þeir
Bárðr;Bárður
til;til
,;,
ok;og
þat;það
þóttumst;þóttumst
vér;vér
sjá;sjá
,;,
at;að
menn;menn
spruttu;spruttu
upp;upp
í;í
flokkinum;flokkinum
með;með
vápnum;vopnum
ok;og
gerðu;gerðu
þá;þá
handtekna;handtekna
alla;alla
at;að
minnsta;minnsta
kosti;kosti
".""";"."""
Þorgils;Þorgils
mælti;mælti
:;:
þér;þér
nökkut;nokkuð
vita;vita
,;,
hvárra;hvorra
flokkr;flokkur
þat;það
myndi;myndi
vera;vera
,;,
eða;eða
kennduð;kennduð
þér;þér
nökkut;nokkuð
menn;menn
eða;eða
búning;búning
þeira;þeirra
eða;eða
fararskjóta;fararskjóta
"?""";"?"""
Sendimenn;Sendimenn
mæltu;mæltu
:;:
viljum;viljum
vér;vér
þat;það
víst;víst
segja;segja
,;,
en;en
þat;það
hugsuðum;hugsuðum
vér;vér
,;,
at;að
flokkr;flokkur
Hafliða;Hafliða
myndi;myndi
vera;vera
,;,
ok;og
kenna;kenna
þóttumst;þóttumst
ek;ég
Kinnskjóna;Kinnskjóna
,;,
fóstra;fóstra
þinn;þinn
,;,
er;er
þú;þú
gaft;gafst
Böðvari;Böðvari
,;,
mági;mági
þínum;þínum
,;,
í;í
fyrra;fyrra
sumar;sumar
á;á
þingi;þingi
.;.
Eigi;Eigi
kann;kann
ek;ég
at;að
kenna;kenna
ok;og
,;,
ef;ef
eigi;eigi
var;var
þar;þar
spjótit;spjótið
þat;það
it;hið
gullrekna;gullrekna
,;,
er;er
þú;þú
gaft;gaft
honum;honum
".""";"."""
Margir;Margir
tóku;tóku
undir;undir
,;,
at;að
þetta;þetta
myndi;myndi
víst;víst
tíðendum;tíðindum
gegna;gegna
ok;og
einsætt;einsætt
væri;væri
at;að
þiggja;þiggja
heldr;heldur
virðingarheimboð;virðingarheimboð
at;að
Þórðar;Þórðar
heldr;heldur
en;en
at;að
leggja;leggja
sjálfan;sjálfan
sik;sig
í;í
slíka;slíka
mannhættu;mannhættu
ok;og
menn;menn
sína;sína
,;,
at;að
ganga;ganga
til;til
bardaga;bardaga
í;í
móti;móti
svá;svo
miklu;miklu
ofrefli;ofurefli
ok;og
sýna;sýna
svá;svo
mikinn;mikinn
ofsa;ofsa
at;að
gæta;gæta
eigi;eigi
sómans;sómans
,;,
fyrir;fyrir
því;því
at;að
hættulaust;hættulaust
myndi;myndi
at;að
ríða;ríða
um;um
morgininn;morguninn
eða;eða
á;á
tveggja;tveggja
nátta;nátta
fresti;fresti
,;,
-;-
ok;og
tóku;tóku
upp;upp
allt;allt
