Maðr;Maður
er;er
nefndr;nefndur
Steinólfr;Steinólfur
.;.
Hann;Hann
var;var
austfirzkr;austfirskur
at;að
kyni;kyni
ok;og
hafði;hafði
verit;verið
gerr;gerður
sekr;sekur
fyrir;fyrir
nökkurs;nokkurs
konar;konar
illvirki;illvirki
austr;austur
þar;þar
í;í
fjörðunum;fjörðunum
.;.
Síðan;Síðan
strauk;strauk
hann;hann
í;í
brott;brott
ok;og
fór;fór
þá;þá
á;á
fund;fund
Hafliða;Hafliða
.;.
Ok;Og
tekr;tekur
hann;hann
við;við
Steinólfi;Steinólfi
ok;og
gerir;gerir
hann;hann
sinn;sinn
heimamann;heimamann
.;.
Ok;Og
einn;einn
dag;dag
um;um
várit;vorið
er;er
þeim;þeim
Katli;Katli
ok;og
Steinólfi;Steinólfi
skipat;skipað
til;til
verks;verks
báðum;báðum
saman;saman
,;,
ok;og
skyldi;skyldi
gera;gera
upp;upp
stekka;stekka
.;.
Ok;Og
fara;fara
snemma;snemma
dags;dags
heiman;heiman
ok;og
hjala;hjala
margt;margt
síðan;síðan
,;,
ok;og
varast;varast
hvárrgi;hvorki
annan;annan
,;,
ok;og
verðr;verður
þá;þá
skilnaðr;skilnaður
þeira;þeirra
sá;sá
,;,
at;að
Ketill;Ketill
vegr;vegur
Steinólf;Steinólf
ok;og
fellir;fellir
á;á
hann;hann
stekksgarðinn;stekksgarðinn
ok;og
ferr;fer
á;á
brott;brott
síðan;síðan
ok;og
lýsir;lýsir
vígi;vígi
á;á
hendr;hendur
sér;sér
,;,
þar;þar
er;er
honum;honum
var;var
óhætt;óhætt
.;.
Ok;Og
ferr;fer
síðan;síðan
,;,
unz;uns
hann;hann
kemr;kemur
heim;heim
á;á
Staðarhól;Staðarhól
ok;og
segir;segir
erendi;erindi
sitt;sitt
.;.
Ok;Og
lætr;lætur
Þorgils;Þorgils
vel;vel
yfir;yfir
hans;hans
erendi;erindi
ok;og
kvað;kvað
hann;hann
hafa;hafa
vel;vel
farit;farið
