Nu;Nú
væita;veita
Ænglar;Englar
Norðmonnum;Norðmönnum
areið;áreið
oc;og
varð;varð
a;á
mot;mót
viðrtaca;viðtaka
horð;hörð
oc;og
sva;svo
varo;voru
sættar;settar
kæsiurnar;kesjurnar
sem;sem
fyʀ;fyrr
var;var
sact;sagt
oc;og
koms;komst
þat;það
mest;mest
viðr;við
hestana;hestana
.;.
bæriaz;berjast
þo;þó
hvarir;hvorir
tvæggiu;tveggja
meðr;með
sinu;sínu
afle;afli
oc;og
reð;réð
seint;seint
mannfallit;mannfallið
a;á
oc;og
var;var
sva;svo
liðsmunr;liðsmunur
at;að
mykyl;mikill
fiolde;fjöldi
Ængla;Engla
gerðo;gerðu
ring;hring
um;um
þa;þá
oc;og
riðo;riðu
flockom;flokkum
at;að
þæim;þeim
.;.
oc;og
þa;þá
er;er
þæir;þeir
komoz;komust
at;að
bac;bak
þæim;þeim
.;.
þa;þá
losnaðe;losnaði
fylkinginn;fylkingin
oc;og
gerðe;gerði
mannfall;mannfall
mikit;mikið
i;í
hværtvæggia;hvort tveggja
liðit;liðið
.;.
oc;og
i;í
rofino;rofinu
geck;gekk
Haraldr;Haraldur
konongr;konungur
fram;fram
meðr;með
skiolld;skjöld
sinn;sinn
oc;og
sværð;sverð
oc;og
hio;hjó
a;á
baðar;báðar
hænndr;hendur
bæðe;bæði
menn;menn
oc;og
hesta;hesta
sva;svo
at;að
æcke;ekki
fæstiz;festist
viðr;við
.;.
sva;svo
sæghir;segir
Stufr;Stúfur
scald;skáld
.;.
Ða;Þá
var;var
Haralldr;Haraldur
konongr;konungur
skotenn;skotinn
framan;framan
i;í
ostena;óstina
sva;svo
at;að
þeghar;þegar
com;kom
ut;út
bloð;blóð
at;að
munninum;munninum
.;.
þetta;þetta
var;var
hans;hans
bana;bana
sar;sár
.;.
oc;og
þvi;því
nest;næst
fell;féll
hann;hann
til;til
iarðar;jarðar
.;.
nu;nú
er;er
þesse;þessi
tiðinde;tíðindi
voro;voru
orðenn;orðin
.;.
þa;þá
sotto;sóttu
Ænglar;Englar
at;að
sva;svo
fast;fast
at;að
þa;þá
fell;féll
allt;allt
liðit;liðið
þet;það
er;er
nest;næst
hafðe;hafði
staðit;staðið
konongenom;konunginum
.;
