Nu;Nú
let;lét
Haraldr;Haraldur
konongr;konungur
uppræisa;uppreisa
mærki;merki
sitt;sitt
.;.
þat;það
er;er
Lanndꝍyða;Landeyða
het;hét
.;.
enn;en
Friðrekr;Friðrekur
het;hét
sa;sá
er;er
mærkit;merkið
bar;bar
.;.
Enn;En
i;í
annann;annan
stað;stað
sætti;setti
Tosti;Tosti
iarl;jarl
sitt;sitt
mærki;merki
.;.
þa;þá
mælti;mælti
Haralldr;Haraldur
konongr;konungur
.;.
þæghar;þegar
er;er
Ænglar;Englar
riða;ríða
at;að
yðr;yður
saghði;sagði
hann;hann
þa;þá
scioter;skjótir
niðr;niður
spiozholum;spjótshölum
yðrum;yðar
i;í
iorð;jörð
.;.
enn;en
sætir;setjir
sva;svo
hoot;
oddana;oddana
at;að
gæghni;gegni
miðium;miðjum
manne;manni
.;.
enn;en
þæir;þeir
er;er
æftir;eftir
standa;standa
i;í
fylkinginne;fylkingunni
sæti;setji
ouc;auk
sina;sína
spiotzhala;spjótshala
i;í
iorðena;jörðina
oc;og
oddana;oddana
firir;fyrir
briost;brjóst
hesta;hesta
þæirra;þeirra
.;.
nu;nú
sætium;setjum
sva;svo
allir;allir
kæsiur;kesjur
varar;vorar
firir;fyrir
þa;þá
.;.
oc;og
bogha;boga
menn;menn
veri;væru
i;í
armana;armana
a;á
bac;bak
fylkingunne;fylkingunni
oc;og
stondum;stöndum
fast;fast
.;.
oc;og
miðlum;miðlum
æcki;ekki
fotsporum;fótsporum
.;.
nema;nema
mundum;myndum
æ;æ
fram;fram
enn;en
þa;þá
er;er
fylct;fylkt
var;var
þa;þá
var;var
oc;og
cominn;kominn
hær;her
Ænghla;Engla
.;.
stoddu;steðjuðu
þæir;þeir
færðina;ferðina
er;er
i;í
fyrsto;fyrstu
riðu;riðu
oc;og
biðaðo;biðu
þæiʀa;þeirra
er;er
æftir;eftir
foro;fóru
.;
