Nu;Nú
er;er
Haraldr;Haraldur
konongr;konungur
hafðe;hafði
lagt;lagt
til;til
hafs;hafs
meðr;með
albunum;albúnum
skipum;skipum
oc;og
hærr;her
þa;þá
drꝍymdi;dreymdi
hann;hann
sialfann;sjáfan
at;að
hanum;honum
þotti;þótti
maðr;maður
koma;koma
at;að
ser;sér
oc;og
þottez;þóttist
hann;hann
kenna;kenna
Olaf;Ólaf
broðr;bróður
sinn;sinn
.;.
sa;sá
maðr;maður
cvað;kvað
visu;vísu
þessa;þessa
fyrir;fyrir
konongenom;konunginum
.;.
Enn;En
þa;þá
drꝍymde;dreymdi
stafnbua;stafnbúa
hans;hans
at;að
hann;hann
þottiz;þóttist
sia;sjá
konu;konu
æina;eina
oc;og
mæiri;meiri
enn;en
mænzkir;mennskir
menn;menn
.;.
hon;hún
ræið;reið
varghe;vargi
oc;og
hafðe;hafði
rauðan;rauðan
sciolld;skjöld
oc;og
cvað;kvað
þetta;þetta
.;
