Nu;Nú
fann;fann
Haraldr;Haraldur
uþocka;óþokka
broðor;bróður
sins;síns
.;.
þa;þá
þrꝍngðe;þröngvaði
hann;hann
hanum;honum
or;úr
lannde;landi
oc;og
for;fór
Tosti;Tosti
iarl;jarl
til;til
Danmarkr;Danmerkur
a;á
fund;fund
Svæins;Sveins
konongs;konungs
frenda;frænda
sins;síns
oc;og
bað;bað
hann;hann
fa;fá
ser;sér
traust;traust
oc;og
afl;afl
at;að
fa;fá
sꝍmd;sæmd
sina;sína
.;.
Svæinn;Sveinn
konongr;konungur
bauð;bauð
hanom;honum
at;að
taca;taka
af;af
ser;sér
riki;ríki
i;í
Danmarku;Danmörku
.;.
þa;þá
svaraðe;svaraði
Tosti;Tosti
vili;viljið
þer;þér
eighi;eigi
fa;fá
oss;oss
styrk;styrk
oc;og
afl;afl
til;til
af;af
yðru;yðar
riki;ríki
at;að
ver;vér
faem;fáum
vara;vora
sꝍmd;sæmd
oc;og
vilium;viljum
af;af
yðru;yðar
afle;afli
oc;og
varre;vorri
forsio;forsjá
vinna;vinna
Ænglannd;England
sæm;sem
Knutr;Knútur
gærði;gerði
moðor;móður
broðir;bróðir
yðar;ykkar
.;.
oc;og
þet;það
riki;ríki
er;er
oss;oss
er;er
hollazt;hollast
i;í
Ænglande;Englandi
.;.
þa;þá
svaraðe;svaraði
Svæinn;Sveinn
konongr;konungur
sva;svo
.;.
Micklu;Miklu
minne;minni
em;er
ec;ég
raða;ráða
maðr;maður
enn;en
var;var
frende;frændi
gamle;gamli
Knutr;Knútur
at;að
varla;varla
fæ;fæ
ec;ég
halldit;haldið
Dana;Dana
vælldi;veldi
firir;fyrir
Norðmonnum;Norðmönnum
.;.
Enn;En
gamli;gamli
Knutr;knútur
æighnaðiz;eignaðist
at;að
ærfð;erfð
allt;allt
Danavællde;Danaveldi
.;.
enn;en
meðr;með
hærr;her
oc;og
hamingio;hamingju
Ænglannd;England
oc;og
var;var
um;um
rið;hríð
æghi;eigi
þet;það
uvenna;óvina
at;að
hann;hann
munde;myndi
þer;þar
æftir;eftir
ligghia;liggja
.;.
enn;en
Noreg;Noreg
fecc;fékk
hann;hann
orrosto;orrustu
loust;laust
.;.
nu;nú
kunnum;kunnum
ver;vér
ætla;ætla
oss;oss
hof;hof
mæira;meira
æftir;eftir
voro;voru
litilræðe;lítilræði
enn;en
æftir;eftir
framkꝍmd;framkvæmd
vars;vors
frenda;frænda
gamla;gamla
Knutz;Knúts
.;.
þa;þá
mællti;mælti
Tosti;Tosti
iarl;jarl
.;.
Frendr;Frændur
varer;vorir
geraz;gerast
oss;oss
fiandr;fjendur
.;.
þeiʀa;þeirra
fiandmenn;fjandmenn
scolu;skulu
þa;þá
vera;vera
varir;vorir
frenndr;frændur
.;.
skildiz;skildist
iarlinn;jarlinn
sva;svo
fra;frá
Dana;Dana
kononge;konungi
at;að
þæir;þeir
voro;voru
baðir;báðir
ræiðir;reiðir
.;
