Enn;En
bratt;brátt
æftir;eftir
þetta;þetta
.;.
for;fór
Knutr;Knútur
gamle;gamli
væstr;vestur
til;til
Ænglanz;Englands
oc;og
com;kom
æighi;eigi
siðan;síðan
aftr;aftur
til;til
Danmarcar;Danmerkur
.;.
hann;hann
gipti;gifti
Gunnilde;Gunnhildi
dottor;dóttur
sina;sína
Hæinreke;Hinriki
keisara;keisara
millda;milda
.;.
Knutr;Knútur
konongr;konungur
gerðe;gerði
færð;ferð
sina;sína
af;af
Englande;Englandi
suðr;suður
um;um
sia;sjó
.;.
toc;tók
þer;þar
staf;staf
oc;og
skræppu;skreppu
.;.
oc;og
allir;allir
hans;hans
menn;menn
þeir;þeir
er;er
þar;þar
voro;voru
.;.
gecc;gekk
til;til
Rums;Rúms
suðr;suður
.;.
oc;og
kom;kom
i;í
mot;mót
hanum;honum
kæisarinn;keisarinn
sialfr;sjálfur
.;.
oc;og
fylghðe;fylgdi
hanum;honum
allt;allt
til;til
Rumaborghar;Rómaborgar
.;.
Knutr;Knútur
konongr;konungur
sætti;sætti
allt;alla
spitala;spítala
a;á
veghenom;veginum
.;.
oc;og
gaf;gaf
fe;fé
til;til
staða;staða
.;.
oc;og
sva;er
er;svo
sact;sagt
.;.
at;að
hann;hann
fꝍddi;fæddi
alla;alla
þa;þá
menn;menn
er;er
fe;fé
þyrftu;þyrftu
a;á
Rumavegh;Rómavegi
.;.
sva;svo
at;að
ængi;enginn
þyrfti;þurfti
biðia;biðja
er;er
þen;þennan
veg;veg
for;fór
suðr;suður
oc;og
sunnan;sunnan
.;.
Knutr;Knútur
konongr;konungur
hafðe;hafði
haft;haft
meðr;með
ser;sér
marga;marga
hesta;hesta
klyfiaða;klyfjaða
meðr;með
gulli;gulli
oc;og
silfri;silfri
.;.
enn;en
af;af
fe;fé
kæisarans;keisarans
toc;tók
hann;hann
slict;slíkt
er;er
hann;hann
þurfti;þurfti
.;.
Engi;Enginn
maðr;maður
hæfir;hefur
sa;svo
farit;farið
af;af
danskre;danskri
tungu;tungu
Rumavægh;Rómaveg
.;.
er;er
meðr;með
þvilicri;þvílíkri
tighn;tign
færi;færi
.;.
kæisarinn;keisarinn
fylghðe;fylgdi
hanum;honum
aftr;aftur
i;í
norðanvert;norðanvert
sitt;sitt
ʀiki;ríki
a;á
þessa;þessa
lunnd;lund
hæfir;hefur
sact;sagt
Sighvatr;Sighvatur
scald;skáld
.;
