Nu;Nú
er;er
Knutr;Knútur
konongr;konungur
hafðe;hafði
þetta;þetta
sannspurt;sannspurt
.;.
þa;þá
gerði;gerði
hann;hann
vestann;vestan
færð;ferð
sina;sína
meðr;með
myklu;miklu
liðe;liði
.;.
af;af
Ænglande;Englandi
.;.
oc;og
kom;kom
um;um
sumarit;sumarið
til;til
Danmarcar;Danmerkur
oc;og
kom;kom
til;til
Sialanz;Sjálnads
i;í
Roskeldu;Hróarskeldu
.;.
þar;þar
com;kom
i;í
mot;mót
hanum;honum
Ulfr;Úlfur
iarl;jarl
.;.
oc;og
um;um
kvældit;kvöldið
vilde;vildi
konongrenn;konungurinn
æcki;ekki
við;við
hann;hann
tala;tala
.;.
umm;um
morghuninn;morguninn
villðe;vildi
konongrenn;konungurinn
enn;enn
æcki;ekki
viðr;við
iarlinn;jarlinn
tala;tala
oc;og
kallaðe;kallaði
til;til
sin;sín
scosvæin;skósvein
sinn;sinn
oc;og
bað;bað
hann;hann
ganga;ganga
oc;og
drepa;drepa
iarlenn;jarlinn
.;.
Skosvæinn;Skósveinn
for;fór
oc;og
þvi;því
nest;næst
aftr;aftur
kom;kom
.;.
þa;þá
mælti;mælti
konongrenn;konungurinn
.;.
draptu;dreptu
iarlenn;jarlinn
.;.
æighi;eigi
heʀa;herra
saghðe;sagði
hann;hann
.;.
hvat;hvað
bar;bar
viðr;við
saghðe;sagði
konongrenn;konungurinn
.;.
hann;hann
var;var
at;að
ottusaung;óttusöng
.;.
Ða;Þá
mælti;mælti
konongrenn;konungurinn
viðr;við
riddara;riddara
sinn;sinn
.;.
tac;tak
sværð;sverð
þitt;þitt
oc;og
gacc;gakk
oc;og
drep;drep
iarl;jarl
.;.
hann;hann
for;fór
oc;og
fann;fann
iarlenn;jarlinn
i;í
kirkiu;kirkju
oc;og
hio;hjó
hann;hann
þeghar;þegar
banahogg;banahögg
geck;gekk
brot;brott
siðann;síðan
meðr;með
bloðoct;blóðugt
sværðet;sverðið
oc;og
hirðe;hirti
ei;ei
fyʀ;fyrr
enn;en
hann;hann
com;kom
inn;inn
til;til
konongsens;konungsins
.;.
þa;þá
mælti;mælti
konongrenn;konungurinn
.;.
draptu;drapstu
iarlenn;jarlinn
.;.
drap;drap
ec;æeg
hann;hann
vist;víst
.;.
þa;þá
er;er
væl;vel
saghðe;sagði
konongrenn;konungurinn
.;
