A;Á
tyttugta;tuttugasta
are;ári
kvamo;komu
synir;synir
Ꝍiriks;Eyríks
bloðꝍxar;blóðaxar
með;með
hærliðe;herlið
.;.
Gamle;Gamli
Haralldr;Haraldur
Sigurðr;Sigurður
sunnan;sunnan
af;af
Danmarcu;Danmörku
.;.
oc;og
heria;herja
a;á
Noreg;Noreg
allt;allt
þar;þar
sem;sem
þeir;þeir
fara;fara
.;.
Hakon;Hákon
konongr;konungur
var;var
þa;þá
staddr;staddur
a;á
Norðmꝍri;Norðmæri
sunnarla;sunnarlega
með;með
liði;liði
sinu;sínu
.;.
þar;þar
sem;sem
heitir;heitir
Fręiðar;Freiðar
ꝍy;ey
.;.
oc;og
var;var
Hacon;Hákon
eigi;eigi
fyʀ;fyrr
var;var
viðr;
.;.
enn;en
þeir;þeir
Gamle;Gamli
lagðuzt;lögðust
með;með
herr;her
sinn;sinn
i;í
Feꝍyiar;Féeyar
sunnd;sund
við;við
Feꝍy;Féey
i;í
nannd;nánd
Freiðarbergi;Freiðarbergi
foro;fóru
menn;menn
i;í
millum;millum
.;.
oc;og
var;var
engi;enginn
costr;kostur
annars;annars
af;af
Ęiriks;Eiríks
sunum;sonum
enn;en
beriazt;berjast
.;.
Hacon;Hákon
konongr;konungur
let;lét
sec;sig
oc;og
eigi;eigi
dvelia;dvelja
.;.
þegar;þegar
hann;hann
vissi;vissi
at;að
frenndr;frændur
hans;hans
ginntuzt;grintust
a;á
þat;það
.;.
Ægill;Egill
het;hét
maðr;maður
gamall;gamall
sa;sá
var;var
mærkis;merkis
maðr;maður
a;á
ꝍsko;æsku
alldri;aldri
sinum;sínum
Haraldz;Haralds
konongs;konungs
hins;hins
harfagra;hárfagra
.;.
oc;og
var;var
nu;nú
orvase;
.;.
hann;hann
hafðe;hafði
þat;það
mællt;mælt
.;.
at;að
hann;hann
villdi;vildi
þann;þann
dꜹðdaga;þauðdaga
liota;hljóta
at;að
falla;falla
i;í
folcoʀosto;fólkorustu
.;.
þa;þá
var;var
sva;svo
mikill;mikill
liðsmunr;liðsmunur
at;að
vera;vera
mynndu;myndu
vj;sjöttu
vm;um
æinn;einn
Haconar;Hákonar
manna;manna
.;.
þa;þá
bað;bað
Ęigill;Egill
kononginn;konunginn
at;að
hann;hann
skylldi;skyldi
fa;fá
hanum;honum
merki;merki
æitt;eitt
a;á
hveriu;hverju
skipi;skipi
oc;og
maɴ;mann
til;til
hværs;hvers
mærkis;merkis
oc;og
varo;voru
þar;þar
x;tíu
mærki;merki
.;.
Enn;En
Æiriks;Eiríks
synir;synir
er;er
þeir;þeir
sa;sáu
at;að
lið;lið
Haconar;Hákonar
var;var
mycklu;miklu
færa;færra
.;.
ganga;ganga
a;á
land;land
at;að
fylkia;fylkja
við;við
Freiðarberg;Freiðarberg
.;.
oc;og
ganga;ganga
sva;svo
i;í
mot;mót
Hacone;Hákoni
.;.
verðr;verður
þar;þar
mikil;mikil
orasta;orrusta
.;.
enn;en
er;er
atlæga;atlega
hafþi;hafði
tekizt;tekist
.;.
þa;þá
for;fór
Eigill;Egill
oc;og
x;tíu
menn;menn
með;með
hanum;honum
oc;og
hafði;hafði
hverr;hver
þeiʀa;þeirra
mærki;merki
i;í
honndum;höndum
oc;og
gengo;gengu
sva;svo
fram;fram
með;með
brecco;brekku
þeirri;þeirri
er;er
þar;þar
var;var
upp;upp
a;á
nęs;nes
eit;eitt
.;.
sem;sem
þeir;þeir
barðuzt;börðust
.;.
sva;svo
at;að
mærkinn;merkin
matti;mátti
sjá;sjá
þaðann;þaðan
sem;sem
barðagenn;bardaginn
var;var
.;.
enn;en
eigi;eigi
þa;þá
er;er
fylgðu;fylgdu
æða;eða
baro;báru
.;.
nu;nú
sea;sjá
Danir;Danir
hvar;hvar
mærkinn;merkin
fara;fara
.;.
oc;og
hyɢia;hyggja
þar;þar
mano;munu
fara;fara
mækinliðit;meginliðið
.;.
oc;og
ræðazt;hræðast
at;að
þeir;þeir
mano;munu
taca;taka
milli;milli
þeira;þeirra
oc;og
skipanna;skipanna
.;.
Her;Hér
af;af
kꝍmr;kemur
flotti;flótti
i;í
lið;lið
Eiriks;Eiríks
suna;sona
.;.
oc;og
flyia;flýja
þeir;þeir
sialvir;sjálfir
oc;og
lið;lið
þeirra;þeirra
.;.
oc;og
er;er
þeir;þeir
koma;koma
a;á
hæðina;hæðina
gægnt;gegnt
Freiðarbergi;Freiðarbergi
.;.
þa;þá
sia;sjá
þeir;þeir
aftr;aftur
ut;út
a;á
Rastarkalf;Rastarkálf
.;.
at;að
ecki;ekki
hærrlið;herlið
fylgði;fyldi
mærkiunum;merkjunum
.;.
lætr;lætur
þa;þá
Gamle;Gamli
skiota;skjóta
upp;upp
mærki;merki
sinu;sínu
.;.
oc;og
kveða;kveða
við;við
luðr;lúður
sinn;sinn
.;.
samnazt;safnast
nu;nú
saman;saman
lið;lið
þeira;þeirra
.;.
oc;og
sciota;skjóta
a;á
fylking;fylking
.;.
enn;en
Danir;Danir
oc;og
lęiðangrs;leiðangurs
folc;fólk
flyia;flýja
til;til
skipa;skipa
.;.
þa;þá
kỏmr;kemur
Hakon;Hákon
konongr;konungur
allu;öllu
liði;liði
sinu;sínu
at;að
þeim;þeim
.;.
hofz;hófst
nu;nú
annat;annað
sinn;sinn
orrastann;orrustan
oc;og
fello;féllu
margir;margir
af;af
hvarom;hvorum
tveɢiom;tveggjum
.;.
oc;og
toc;tók
bratt;bratt
at;að
ganga;ganga
a;á
þa;þá
Gamla;Gamla
.;.
oc;og
skildizt;skildist
lið;lið
þeira;þeirra
.;.
oc;og
flyði;flýði
Gamle;Gamli
oc;og
þeir;þeir
allir;allir
brꝍðr;bræður
fram;fram
með;með
berginu;berginu
.;.
enn;en
sumt;sumt
toc;tók
upp;upp
a;á
bergit;bergið
.;.
oc;og
var;var
þar;þar
drepit;drepið
enn;en
sumt;sumt
toc;tók
fyrir;fyrir
hamra;hamra
ofan;ofan
oc;og
do;dó
þar;þar
.;.
enn;en
er;er
þeir;þeir
Gamle;Gamli
kvamu;komu
i;í
fiaruna;fjöruna
.;.
þa;þá
varð;varð
hann;hann
sar;sár
mioc;mjög
af;af
Hacone;Hákoni
kononge;konungi
oc;og
toc;tók
undan;undan
a;á
kaf;kaf
oc;og
drucnaðe;druknaði
.;.
Haraldr;Haraldur
oc;og
Sigurðr;Sigurður
brꝍðr;bræður
Gamla;Gamla
komozt;komust
með;með
sunndi;sundi
til;til
skipa;skipa
.;.
enn;en
Hacon;Hákon
drap;drap
þar;þar
i;í
fiorunni;fjörunni
iij;þrjár
scipsocnir;skipsóknir
af;af
liði;liði
þeiʀa;þeirra
.;.
oc;og
loðo;lögðu
upp;upp
scipinn;skipin
undir;undir
þeim;þeim
.;.
i;í
þau;þau
skip;skip
var;var
lagðr;lagður
valrinn;valurinn
.;.
oc;og
orpner;orpnir
þar;þar
haugar;haugar
utan;utan
at;að
.;.
þar;þar
stænndr;stendur
oc;og
bautaðar;bautar
stæinn;steinn
harr;hár
sem;sem
Eigill;Egill
fell;féll
.;.
