Enn;En
nu;nú
varð;varð
Tosti;Tosti
iarl;jarl
þess;þess
var;var
at;að
konongrenn;konungurinn
var;var
fallenn;fallinn
.;.
veic;veik
þeghar;þegar
þer;þar
til;til
er;er
hann;hann
sa;sá
mærkit;merkið
Landæiðuna;Landeiðuna
.;.
oc;og
æggiaðe;eggjaði
fast;fast
til;til
frammgongu;framgöngu
oc;og
bað;bað
enn;enn
bæra;bera
þat;það
sama;sama
mærki;merki
firir;fyrir
ser;sér
oc;og
varð;varð
þa;þá
snorp;snörp
orrasta;orrusta
firir;fyrir
þvi;því
at;að
allir;allir
Norðmenn;Norðmenn
aæggiaðo;áeggjuðu
oc;og
saghðe;sagði
hvær;hver
oðrum;öðrum
at;að
æighi;eigi
villdi;vildi
flyia;flýja
.;.
þa;þá
let;lét
Haraldr;Haraldur
Goðvina;Guðna
sun;son
blasa;blása
luðri;lúðri
sinum;sínum
oc;og
bað;bað
stoðva;stöðva
orrastona;orrustuna
oc;og
bouð;bauð
Tosta;Tosta
iarle;jarli
brꝍðr;bróður
sinum;sínum
grið;grið
oc;og
ollu;öllu
liði;liði
hans;hans
enn;en
allir;allir
Norðmenn;Norðmenn
ꝍpto;æptu
upp;upp
senn;senn
oc;og
letoz;létust
ængi;engan
grið;grið
af;af
honom;honum
þiggia;þiggja
vilia;vilja
letoz;létust
hælldr;heldur
skula;skyldu
sighraz;sigrast
a;á
uvinum;óvinum
sinum;sínum
eða;eða
liggia;liggja
þer;þar
allir;allir
um;um
konong;konung
sinn;sinn
sva;svo
sæghir;segir
Arnor;Arnór
.;.
I;Í
þessare;þessari
dvol;dvöl
aðr;áður
enn;en
fylkingar;fylkingar
genge;gengu
saman;saman
orte;orti
Þioðolfr;Þjóðólfur
visu;vísu
þessa;þessa
.;.
hofz;hófst
þa;þá
orrostann;orrustan
i;í
annat;annað
sinn;sinn
.;.
oc;og
varð;varð
hin;hin
harðasta;harðasta
.;.
oc;og
æighi;eigi
long;löng
aðr;áður
enn;en
Tosti;Tosti
iarl;jarl
fell;féll
.;.
