Enn;En
nu;nú
vænndir;vendir
Tosti;Tosti
færðinne;ferðinni
aftr;aftur
til;til
Norex;Noregs
oc;og
hitti;hitti
þer;þar
Haralld;Harald
konong;konung
.;.
oc;og
kærir;gerir
firir;fyrir
hanum;honum
sinn;sinn
vannda;vanda
oc;og
bouð;bauð
honom;honum
sina;sína
þionosto;þjónustu
oc;og
sitt;sitt
samlagh;samlag
.;.
finnaz;finnast
þer;þar
nu;nú
miklir;miklir
spækingar;spekingar
talar;talar
hvær;hver
til;til
annars;annars
bliðligha;blíðlega
talaðe;talaði
konongrenn;konungurinn
um;um
mickla;mikla
hormung;hörmung
iarlsins;jarlsins
oc;og
hann;hann
skulde;skyldi
fra;frá
væra;vera
spærðr;sperrtur
sino;sínu
riki;ríki
at;að
saklousu;saklausu
.;.
Iarlinn;Jarlinn
hof;hóf
þer;þar
upp;upp
er;er
Horða-Knutr;Hörða-Knútur
sun;sonur
gamla;gamla
Knutz;Knúts
styrði;stýrði
Ænglannde;Englandi
oc;og
hværsu;hversu
farit;farið
hafðe;hafði
svardaghe;svardagi
milli;milli
Magnus;Magnúsar
konongs;konungs
oc;og
Horða-Knuz;Hörða-Knúts
.;.
oc;og
þer;þar
nest;næst
at;að
Magnus;Magnús
konongr;konungur
var;var
orðenn;orðinn
rettr;réttur
arve;arfi
Horða-Knutz;Hörða-Knúts
oc;og
hvæssu;hversu
hann;hann
gærðe;gerði
mykla;mikla
miskunn;miskunn
viðr;við
Æðvarð;Eðvarð
konong;konung
er;er
hann;hann
hæimti;heimti
æighi;eigi
æighn;eign
oc;og
riki;ríki
þet;það
er;er
var;var
i;í
Ænglannde;Englandi
.;.
sva;svo
sem;sem
þat;það
er;er
var;var
i;í
Danmorku;Danmörku
.;.
nu;nú
hugðu;hugðu
ver;vér
engan;engan
annan;annan
arva;arfa
Magnus;Magnúsar
konongs;konungs
alenn;alinn
enn;en
yðr;yður
hærra;herra
.;.
eða;eða
hvessu;hversu
ætla;ætlið
þer;þér
at;að
satt;satt
se;sé
saghðe;sagði
iarlenn;jarlinn
.;.
i;í
þessa;þessari
rꝍðo;ræðu
hugðe;hugði
Haraldr;Haraldur
konongr;konungur
vandlegha;vandlega
.;.
atto;áttu
marghar;margar
stæfnur;stefnur
oc;og
lauc;lauk
sva;svo
þæiʀa;þeirra
tale;tali
at;að
Tosti;Tosti
iarl;jarl
sor;sór
sec;sig
i;í
halld;hald
Haraldz;Haralds
konongs;konungs
.;.
oc;og
het;hét
kononge;konungi
fylhð;fylgd
oc;og
forunꝍyti;föruneyti
vestr;vestur
til;til
Ænglannz;Englands
.;.
konongr;konungur
het;hét
hanum;honum
i;í
moti;móti
riki;ríki
oc;og
yfirlæti;yfirlæti
þvi;því
mæira;meira
er;er
riki;ríki
æfldiz;efldist
hanum;honum
mæira;meira
.;.
þesse;þessi
rꝍða;ræða
var;var
i;í
hværs;hvers
manz;manns
husi;húsi
oc;og
þo;þó
optazt;oftast
i;í
konongs;konungs
hirð;hirð
hvæssu;hversu
færð;ferð
Harallz;Haralds
konongs;konungs
munnde;myndi
værða;verða
til;til
Ænglannz;Englands
.;.
telia;telja
menn;menn
þet;það
upp;upp
hværsu;hversu
morgh;mörg
storvirki;stórvirki
Haraldr;Haraldur
hafðe;hafði
unnit;unnið
oc;og
saghðu;sögðu
at;að
hann;hann
munnde;myndi
nu;nú
sem;sem
fyʀ;fyrr
ængann;engan
lut;hlut
finna;finna
ufꝍrann;ófæran
firir;fyrir
ser;sér
.;.
sumir;sumir
mælto;mæltu
þet;það
.;.
at;að
England;England
er;er
riki;ríki
fiolmennt;fjölmennt
.;.
þer;þar
var;var
oc;og
þet;það
lið;lið
er;er
kallat;kallað
var;var
þingamenn;þingamenn
.;.
þat;það
hafðe;hafði
valz;valds
af;af
morghum;mörgum
lonndum;löndum
oc;og
þo;þó
mest;mest
af;af
danskre;danskri
tungu;tungu
.;.
oc;og
sva;svo
ero;eru
þæir;þeir
rꝍyndir;reyndir
oc;og
vanir;vanir
viðr;við
oʀastu;orrustu
at;að
æins;eins
lið;lið
þingamanz;þingamanns
var;var
bætra;betra
enn;en
tvæggia;tveggja
Haraldz;Haralds
manna;manna
.;.
enn;en
a;á
þvi;því
sumre;sumri
anndaðez;andaðist
Ulfr;Úlfur
stallare;stallari
oc;og
þa;þá
er;er
konongrenn;konungurinn
gec;gekk
fra;frá
græft;gröft
hans;hans
þa;þá
mælti;mælti
hann;hann
.;.
þet;það
er;er
dyrlect;dýrlegt
vitni;vitni
var;var
Ulfe;Úlfi
.;.
Her;Hér
liggr;liggur
nu;nú
sa;sá
er;er
drenglyndastr;drenglyndastur
var;var
oc;og
drottenhollastr;drottinhollastur
.;.
þa;þá
gerðiz;gerðist
Styrkar;Styrkár
stallare;stalli
æinn;einn
.;.
enn;en
aðr;áður
hofðu;höfðu
þæir;þeir
baðir;báðir
værit;verið
.;
