Vm;Um
varet;vorið
æftir;eftir
bio;bjó
Knutr;Knútur
konongr;konungur
hær;her
sinn;sinn
vestan;vestan
af;af
Englannde;Englandi
.;.
oc;og
var;var
þa;þá
með;með
hanum;honum
Hacon;Hákon
iarll;jarl
frende;frændi
hans;hans
Eiriks;Eiríks
sunr;sonur
.;.
oc;og
þat;það
sama;sama
var;vor
com;kom
Sigvatr;Sighvatur
skalld;skáld
til;til
Englannz;Englands
oc;og
ætlaðe;ætlaði
færð;ferð
sina;síns
til;til
Rums;Rúms
.;.
oc;og
þa;þá
er;er
hann;hann
spurði;spurði
ætlan;ætlan
Knuz;Knúts
konongs;konungs
oc;og
Haconar;Hákonar
.;.
orte;orti
hann;hann
þetta;þetta
.;.
Knutr;Knútur
konongr;konungur
mintist;minntist
margra;margra
saca;saka
er;er
hann;hann
þottezk;þóttist
eiga;eiga
við;við
Olaf;Ólaf
konong;konung
.;.
Ðesse;Þessi
var;var
hin;hin
fyrsta;fyrsta
soc;sök
at;að
Olafr;Ólafur
konongr;konungur
toc;tók
Hacon;Hákon
systr;systur
sun;son
hans;hans
oc;og
let;lét
sværia;sverja
ser;sér
eiða;eiða
oc;og
toc;tók
af;af
hanum;honum
rikit;ríkið
oc;og
rak;rak
hann;hann
or;úr
lannde;landi
.;.
Olafr;Ólafur
konongr;konungur
hafðe;hafði
oc;og
tækit;tekið
þat;það
riki;ríki
undir;undir
sik;sig
.;.
er;er
langa;langa
rið;hríð
hafðe;hafði
veret;verið
skattgillt;skattgilt
undir;undir
Dana;Dana
kononga;konunga
.;.
Olafr;Ólafur
konongr;konungur
hafðe;hafði
oc;og
hæriat;herjað
a;á
lannd;land
Knuz;Knúts
konongs;konungs
.;.
Knutr;Knútur
konungr;konungur
for;fór
með;með
hær;her
sinum;sínum
vestan;vestan
af;af
Englannde;Englandi
til;til
Danmarcar;Danmerkur
oc;og
com;kom
i;í
Limafiorð;Limafjörð
.;.
oc;og
sigldi;sigldi
þaðan;þaðan
til;til
Noregs;Noregs
með;með
.xii;tólf
.;
.c;hundrað
.;
skipa;skipa
.;.
oc;og
hafðe;hafði
ut;út
boðet;boðið
almenning;almenning
af;af
Danmarku;Danmörku
oc;og
Englande;Englandi
.;.
hann;hann
com;kom
liði;liði
sinu;sínu
at;að
Ogðum;Ögðum
oc;og
for;fór
með;með
allum;öllum
hær;her
sinum;sínum
norðr;norður
með;með
lannde;landi
oc;og
þingaðe;þingaði
við;við
bꝍnndr;bændur
.;.
oc;og
var;var
hann;hann
til;til
konongs;konungs
tækinn;tekinn
hvar;hvar
sem;sem
hann;hann
com;kom
.;.
lette;létti
æigi;eigi
færrðenne;ferðinni
fyrr;fyrr
en;en
i;í
Niðarose;Niðarósi
.;.
Ðar;Þar
atte;átti
hann;hann
atta;átta
fylkna;fylkna
þing;þing
við;við
Þrꝍnde;Þrændi
oc;og
var;var
hanum;honum
þa;þá
svaret;svarið
landet;landið
a;á
Ꝍyraþingi;Eyraþing
.;.
I;Í
fra;frá
þesse;þessari
færð;ferð
Knuz;Knúts
konongs;konung
sægir;segir
Þorarenn;Þórarinn
loftunga;loftunga
i;í
cvæðe;kvæði
þui;því
er;er
hann;hann
orte;orti
um;um
Knut;Knút
konong;konung
.;.
Ðui;Því
nest;næst
gaf;gaf
hann;hann
Hacone;Hákoni
iarle;jarli
frenda;frændi
sinum;sínum
allt;allt
Noregs;Noregs
konongs;konungs
vælldi;veldi
firir;fyrir
at;að
raða;ráða
.;.
þæim;þeim
er;er
fyrr;fyrr
hafðe;hafði
værit;verið
hanndtekinn;handtekinn
af;af
Olafe;Ólafi
kononge;konungi
.;.
oc;og
hafðe;hafði
svaret;svarið
hanum;honum
eiða;eiða
.;.
Siðan;Síðan
for;fór
Knutr;Knútur
konongr;konungur
aftr;aftur
til;til
Danmarcar;Danmerkur
með;með
hær;her
sinum;sínum
.;.
En;En
Olafr;Ólafur
konongr;konungur
hafðe;hafði
veret;verið
a;á
Upplanndum;Upplöndum
.;.
meðan;meðan
Knutr;Knútur
konongr;konungur
lagðe;lagði
undir;undir
sik;sig
allt;allt
með;með
sionom;sjónum
.;.
oc;og
hafðe;hafði
latet;látið
varðveita;varðveita
skip;skip
sin;sín
i;í
Asloar;Oslóar
firði;firði
.;.
En;En
þa;þá
er;er
hann;hann
spurði;spurði
at;að
Knutr;Knútur
konongr;konungur
var;var
farenn;farinn
or;úr
lannde;landi
.;.
for;fór
Olafr;Ólafur
konongr;konungur
til;til
skipa;skipa
sinna;sinna
oc;og
sigldi;sigldi
norðr;norður
með;með
lannde;landi
.;.
oc;og
þa;þá
er;er
hann;hann
com;kom
firir;fyrir
Iaðar;Jaðar
.;.
la;lá
Erlingr;Erlingur
Skialgssunr;Skjĺagssonur
firir;fyrir
hanum;honum
með;með
margar;margar
skutr;skútur
oc;og
æitt;eitt
mikit;mikið
langskip;langskip
.;.
skeiðena;skeiðina
er;er
hann;hann
hafðe;hafði
att;átt
lengi;lengi
.;.
hann;hann
hafðe;hafði
tækit;tekið
fe;fé
til;til
af;af
Knuti;Knúti
kononge;konungi
.;.
at;að
hallda;halda
lannde;landi
undir;undir
Hacon;Hákon
iarl;jarl
oc;og
beriazk;berjast
i;í
mote;móti
Olafe;Ólafi
kononge;konungi
.;.
oc;og
þa;þá
er;er
hann;hann
sa;sá
sigling;siglingu
Olafs;Ólafs
konongs;konungs
.;.
oc;og
þotez;þóttist
vita;vita
hans;hans
vilia;vilja
mælte;mælti
hann;hann
við;við
menn;menn
sina;sína
at;að
þæir;þeir
skylldu;skyldu
sigla;sigla
æftir;eftir
Olafe;Ólafi
kononge;konungi
oc;og
bæriast;berjast
við;við
hann;hann
.;.
En;En
þa;þá
er;er
Olafr;Ólafur
konongr;konungur
sa;sá
sigling;siglingu
Erlings;Erlings
mælte;mælti
hann;hann
at;að
halsa;hálsa
skylldi;skyldi
seglen;seglin
.;.
þa;þá
hafðe;hafði
Erlingr;Erlingur
Skialgssunr;Skjálgssonur
hæflat;heflað
a;á
skeið;skeið
sinni;sinni
.;.
at;að
æigi;eigi
skylldi;skyldi
hon;hún
ganga;ganga
hvatare;hvatari
en;en
annur;önnur
skip;skip
.;.
þa;þá
mællte;mælti
Erlingr;Erlingur
.;.
Nu;Nú
lægiazk;leggjast
segl;segl
þæirra;þeirra
oc;og
draga;draga
þæir;þeir
nu;nú
undan;undan
oss;oss
slaom;sláum
við;við
allu;öllu
segle;segli
a;á
skeiðenne;skeiðinni
oc;og
sva;svo
var;var
gort;gjört
.;.
giek;gekk
þa;þá
skeiðen;skeiðin
skiot;skjótt
fram;fram
fra;frá
skutunum;skútunum
.;.
Olafr;Ólafur
konongr;konungur
stæmdi;stefndi
firir;fyrir
innan;innan
Bokn;Bokn
oc;og
lagðez;lagðist
þar;þar
i;í
sunndet;sundið
firir;fyrir
innan;innan
Tungr;Tungur
ꝍyiar;eyjar
þæir;þeir
er;er
sva;svo
hæita;heita
.;.
Ða;Þá
giek;gekk
skeiðen;skeiðin
norðr;norður
i;í
sundet;sundið
.;.
finna;finna
æigi;eigi
fyrr;fyrr
en;en
skip;skip
læggia;leggja
at;að
þæim;þeim
a;á
bæðe;bæði
borð;borð
.;.
var;var
þar;þar
viðtaka;viðtaka
horð;hörð
oc;og
æigi;eigi
long;löng
aðr;áður
en;en
skeiðen;skeiðin
ryddiz;ryddist
.;.
var;var
þar;þar
drepet;drepið
hværtt;hvert
barn;barn
nema;nema
Erlingr;Erlingur
einn;einn
stoð;stóð
i;í
lyptingu;lyftingu
.;.
sva;svo
sægir;segir
Sigvatr;Sighvatur
.;.
Ða;Þá
giek;gekk
Olafr;Ólafur
konongr;konungur
aftr;aftur
i;í
firir;fyrir
rumet;rúmið
.;.
sotto;sóttu
þa;þá
menn;menn
hans;hans
at;að
Erlingi;Erlingi
en;en
hann;hann
varðez;varðist
drengilega;drengilega
.;.
var;var
manna;manna
stærkastr;sterkastur
oc;og
bæzt;best
vigr;vígur
i;í
allum;öllum
Norege;Noregi
.;.
þa;þá
mællte;mælti
konongrenn;konungurinn
.;.
við;við
horfer;horfir
þu;þú
mioc;mjög
i;í
dag;dag
Erlingr;Erlingur
.;.
Ia;Já
hærra;herra
sagðe;sagði
hann;hann
.;.
Anndverðer;Önverðir
sculu;skulu
ernir;ernir
kloaz;klóast
.;.
vilið;viljið
þer;þér
gefa;gefa
mer;mér
grið;grið
hærra;herra
.;.
konongrenn;konungurinn
svaraðe;svaraði
.;.
a;á
andværðum;öndverðum
man;mun
þer;þér
þat;það
sia;sjá
aðr;aður
en;en
við;við
skiliumk;skiljumst
.;.
þa;þá
castaðe;kastaði
Erlingr;Erlingur
vapnom;vopnum
giek;gekk
ofan;ofan
i;í
firir;fyrir
rumet;rúmið
.;.
Olafr;Ólafur
konongr;konungur
hafðe;hafði
ꝍxi;öxi
litla;litla
i;í
henndi;hendi
ser;sér
.;.
Erlingr;Erlingur
castaðe;kastaði
skilldinum;skildinum
oc;og
tok;tók
hialm;hjálm
af;af
hofði;höfði
ser;sér
.;.
Olafr;Ólafur
konongr;konungur
stak;stakk
oxarhyrnunni;axarhyrnunni
a;á
kinn;kinn
hanum;honum
oc;og
mællte;mælti
.;.
merkia;merkja
scal;skal
drottens;drottins
svicarann;svikarann
hværn;hvern
at;að
noccoro;nokkru
.;.
þa;þá
liop;hljóp
fram;fram
Aslakr;Áslákur
Fitiaskalle;Fitjaskalli
.;.
hꝍggr;heggur
tvæim;tveim
hondum;höndum
i;í
hafuð;höfuð
Erlingi;Erlingi
.;.
sva;svo
at;að
fell;féll
þegar;þegar
dauðr;dauður
a;á
þiliurnar;þiljurnar
.;.
þa;þá
mælte;mælti
Olafr;Ólafur
konongr;konunugur
til;til
Aslaks;Ásláks
.;.
hogg;högg
allra;allra
manna;manna
armastr;armastur
.;.
nu;nú
hiot;hjóst
þu;þú
Noreg;Noreg
or;úr
henndi;hendi
mer;mér
.;.
Aslakr;Áslákur
svaraðe;svaraði
.;.
þat;það
er;er
þa;þá
illa;illa
orðet;orðið
hærra;herra
.;.
ec;ég
hugða;hugði
at;að
ec;ég
hoggva;höggvi
nu;nú
Noreg;Noreg
i;í
hond;hönd
þer;þér
.;.
engi;enginn
hæfir;hefur
iamrikr;jafnríkur
fiandmaðr;fjandmaður
þinn;þinn
veret;verið
i;í
Norege;Noregi
sem;sem
þesse;þessi
.;.
þa;þá
giek;gekk
konongr;konungur
a;á
skip;skip
sitt;sitt
oc;og
festu;festu
æftir;eftir
skeiðina;skeiðina
i;í
sunndinu;sundinu
.;.
draga;draga
upp;upp
segl;segl
sin;sín
.;.
oc;og
sigldu;sigldu
norðr;norður
með;með
lannde;landi
.;.
Eggiar-Kalfr;Eggjar-Kálfur
oc;og
þæir;þeir
aller;allir
brꝍðr;bræður
varo;voru
þa;þá
með;með
Olafe;Ólafi
kononge;konungi
.;.
er;er
Erlingr;Erlingur
var;var
drepenn;drepinn
.;.
sva;svo
seghir;segir
i;í
cvæðe;kvæði
þvi;því
er;er
orti;orti
Biarne;Bjarni
Gullbrar;Gullbrár
scalld;skáld
um;um
Kalf;Kálf
Arna;Arnar
sun;son
.;.
Skutna;Skútna
hærrenn;herinn
kom;kom
þa;þá
æftir;eftir
i;í
sunndet;sundið
.;.
funnu;fundu
skeiðena;skeiðina
oc;og
drepet;drepið
af;af
hvært;hvert
barn;barn
.;.
toco;tóku
lik;lík
Erlings;Erlings
oc;og
biuggu;bjuggu
til;til
graftar;grafar
.;.
synir;synir
Erlings;Erlings
oc;og
frenndr;frændur
lago;lágu
i;í
samnaðe;safnaði
.;.
foro;fóru
norðr;norður
æftir;eftir
kononge;konungi
með;með
miklum;miklum
hær;her
.;.
oc;og
hvar;hvar
sem;sem
tiðendi;tíðindi
como;komu
norðr;norður
at;að
Erlingr;Erlingur
var;var
dauðr;dauður
.;.
þa;þá
for;fór
iamskiot;jafnskjótt
samnaðrenn;safnaðurinn
et;hið
ꝍfra;efra
oc;og
a;á
Rugalande;Rogalandi
oc;og
Harðulande;Hörðalandi
.;.
fecc;fékk
Olafr;Ólafur
konongr;konungur
hværgi;hvergi
uppgangu;uppgöngu
firir;fyrir
boanda;búanda
hær;her
.;.
en;en
skipaliðet;skipaliðið
for;fór
æftir;eftir
hanum;honum
.;.
þesse;þessi
visa;vísa
er;er
kiænd;kennd
Olafe;Ólafi
kononge;konungi
.;.
Olafr;Ólafur
konongr;konungur
for;fór
skipunum;skipunum
norðr;norður
a;á
Mꝍre;Mæri
.;.
spurði;spurði
þa;þá
at;að
Hacon;Hákon
iarl;jarl
hafðe;hafði
saman;saman
samnat;safnað
i;í
Þrondheimi;Þrándheimi
liði;liði
miklu;miklu
.;.
oc;og
þat;það
með;með
at;að
landet;landið
var;var
þa;þá
nalega;nálega
