Nu;Nú
sighlde;sigldi
Haraldr;Haraldur
konongr;konungur
fyst;fýst
til;til
Orknꝍyia;Orkneyja
.;.
let;lét
þar;þar
æftir;eftir
Ællisif;Ellisif
kono;konu
sina;sína
oc;og
Mariu;Maríu
dottor;dóttur
sina;sína
.;.
hann;hann
hafðe;hafði
þeðann;þaðan
meðr;þeð
ser;sér
Pol;Pál
iarl;jarl
sun;son
Þorfinz;Þorfinns
iarls;jarls
.;.
oc;og
Ingibiarghar;Ingibjargar
dottor;dóttur
Finz;Finns
iarls;jarls
Arnasunar;Arnarsonar
.;.
þeðann;þaðan
hellt;hélt
Haralldr;Haraldur
konongr;konungur
suðr;suður
hærrinom;hernum
til;til
Ænglanz;Englands
.;.
com;kom
at;að
sva;svo
at;að
hann;hann
hof;hóf
lannd;land
gongu;göngu
þer;þar
sem;sem
hæita;heita
Kliflond;Kliflönd
.;.
fluðe;flúði
allt;allt
undan;undan
hann;hann
toc;tók
af;af
lanndinu;landinu
gisla;gísla
oc;og
skatta;skatta
oc;og
for;fór
sva;svo
suðr;suður
til;til
Skarðaborghar;Skarðaborgar
.;.
vann;vann
hana;hana
mæðr;með
ællde;eldi
.;.
lagðe;lagði
under;undir
sec;sig
allt;allt
lannd;land
norðann;norðan
.;.
þeðann;þaðan
hellt;hélt
flotanum;flotanum
suðr;suður
til;til
Humro;Humru
.;.
oc;og
laghðe;lagði
upp;upp
æftir;eftir
aonne;ánni
.;.
til;til
Uso;Úsu
.;.
þer;þar
com;kom
i;í
mot;mót
hanum;honum
Norðimbra;Norðimba
iarlar;jarlar
Motokari;Motokári
af;af
Handatune;Handatúni
.;.
oc;og
hafðe;hafði
hærr;her
uvighann;óvigan
er;er
saman;saman
hafðe;hafði
dregez;dregist
allt;allt
houstit;haustið
.;.
Haraldr;Haraldur
konongr;konungur
væitti;veitti
viðrtocu;viðtökur
oc;og
geck;gekk
upp;upp
a;á
arbackann;árbakkann
.;.
oc;og
fylcti;fylkti
þer;þar
.;.
oc;og
let;lét
horva;hörfa
fylkingar;fylkingar
arminn;arminn
at;að
onne;ánni
.;.
enn;en
annan;annan
at;að
dike;díki
nocoro;nokkru
.;.
enn;en
þet;það
var;var
diupt;djúpt
oc;og
fult;fullt
af;af
vatne;vatni
.;.
þæir;þeir
iarlanner;jarlarnir
leto;létu
sigha;síga
fylking;fylkingu
meðr;með
ollum;öllum
mughinum;múginum
meðr;með
aonne;ánni
.;.
firir;fyrir
ofann;ofan
konongs;konungs
mærkit;merkið
.;.
var;var
þer;það
þyckvast;þykkast
enn;en
þunnast;þunnast
meðr;með
dikinu;díkinu
.;.
þa;þá
er;er
litla;litla
rið;hríð
hafðe;hafði
verit;verið
barz;barist
.;.
þa;þá
veik;veik
sa;sá
firir;fyrir
armrenn;armurinn
er;er
til;til
dikisens;díkisins
vissi;vissi
a;á
fylkingu;fylkingu
Haralz;Haralds
oc;og
sottu;sóttu
þa;þá
fast;fast
ænscir;enskir
menn;menn
at;að
i;í
þvi;því
er;er
þæir;þeir
ætlaðo;ætluðu
at;að
Norðmenn;Norðmenn
mundu;myndu
flyia;flýja
.;.
Haraldr;Haraldur
konongr;konungur
meðr;með
sina;sína
fylking;fylkingu
geck;gekk
at;að
sva;svo
fast;fast
at;að
allt;allt
stock;sökk
firir;fyrir
a;á
tva;tvo
vegho;vegu
.;.
gerðez;gerðist
þa;þá
flotti;flótti
i;í
lanz;lands
hærrenom;hernum
oc;og
væic;veik
þa;þá
sa;sá
armrenn;armurinn
ut;út
i;í
dikit;díkið
er;er
nest;næst
var;var
.;.
en;en
Motokare;Motokári
iarl;jarl
hafðe;hafði
faret;farið
með;með
þvi;því
mærki;merki
er;er
nest;næst
var;var
dikinu;díkinu
.;.
Enn;En
Valðiofr;Valþjófur
iarl;jarl
fluðe;flúði
or;úr
orrostonne;orrustunni
oc;og
upp;upp
meðr;með
aonne;ánni
oc;og
þat;það
æitt;eitt
com;kom
undann;undan
er;er
honom;onum
fylgði;fylgdi
.;.
þer;þar
fell;féll
Motokare;Motokári
oc;og
sva;svo
þyct;þykkt
um;um
hann;hann
at;að
dikit;díkið
var;var
fult;fullt
af;af
douðum;dauðum
monnum;mönnum
sva;svo
sæghir;segir
Stæinn;Steinn
.;.
Þetta;Þetta
orti;orti
hann;hann
um;um
Olaf;Ólaf
oc;og
var;var
þetta;þetta
Matheus;Mattheusar
messo;messu
aftan;aftan
oc;og
stoð;stóð
hun;hún
þa;þá
a;á
Þosdæghi;Þórsdegi
þæir;þeir
Motokare;Motokári
oc;og
Valðiofr;Valþjófur
voro;voru
brꝍðr;bræður
Haralz;Haralds
Goðvina;Guðna
sunar;sonar
.;
