Ða;Þá
leto;létu
iarllarner;jarlarnir
Hacon;Hákon
oc;og
Eirikr;Eirík
cveða;kveða
við;við
luðra;lúðra
sina;sína
.;.
sætia;setja
upp;upp
mærki;merki
sin;sín
oc;og
skipa;skipa
til;til
atroðrar;atróðrar
.;.
Hacon;Hákon
iarl;jarl
skipar;skipar
svæit;sveit
er;er
hanum;honum
skylldi;skyldi
fylgia;fylgja
i;í
orrostu;orrustu
a;á
hvart;hvort
borð;borð
.;.
oc;og
ero;eru
þesser;þessir
hofðingiar;höfðingjar
.;.
Skofte;Skofti
oc;og
Ragnvalldr;Rögnvaldur
or;úr
Ærvik;Eirvík
.;.
Ðæir;Þeir
vænnda;venda
þar;þar
til;til
atroðre;atróðri
sem;sem
firir;fyrir
var;var
Sigvallde;Sigvaldi
iarll;jarl
oc;og
mꝍttoz;mættust
þæir;þeir
iarlarner;jarlarnir
i;í
orrostu;orrustu
.;.
a;á
stiorn;stjórn
Hacone;Hákoni
iarle;jarli
en;en
Sigurðr;Sigurður
sunr;sonur
hans;hans
.;.
oc;og
með;með
hanum;honum
Ꝍyvindr;Eyvindur
Finz;Finns
sunr;sonur
oc;og
Ærlændr;Erlendur
stæik;steik
or;úr
Naumudale;Naumudali
.;.
baðer;báðir
lænndir;lendir
menn;menn
oc;og
agiæter;ágætir
þæir;þeir
lagðu;lögðu
i;í
mote;móti
Sigurði;Sigurði
hvita;hvíta
broðor;bróður
Bua;Búa
digra;digra
.;.
En;En
ut;út
i;í
armenn;arminnn
var;var
Eirikr;Eiríkur
iarl;jarl
oc;og
með;með
hanum;honum
Þorstæinn;Þorsteinn
miðlangr;miðlangur
er;er
allra;allra
vikinga;víkinga
var;var
agiætastr;ágætastur
.;.
oc;og
Þorer;Þórir
hiortr;hjörtur
norðan;norðan
or;úr
Vagom;Vogum
.;.
lændr;lendur
maðr;maður
.;.
þæir;þeir
lagðu;lögðu
i;í
mote;móti
Bua;Búa
digra;digra
.;.
oc;og
varð;varð
þar;þar
horð;hörð
orrasta;orrusta
með;með
þæim;þeim
.;.
A;Á
bakborða;bakborða
fylking;fylking
Haconar;Hákonar
iarls;jarls
lagðu;lögðu
þæir;þeir
fram;fram
Erlingr;Erlingur
sonr;sonur
hans;hans
.;.
oc;og
með;með
hanum;honum
Iarnskæggi;Járnskeggi
af;af
Yrium;Yrjum
af;af
Uthaugi;Úthaugi
oc;og
annar;annar
Styrkar;Styrkár
af;af
Gymsum;Gymsum
er;er
mester;mestir
varo;voru
þa;þá
lænndra;lendra
manna;manna
firir;fyrir
norðan;norðan
Stað;Stað
.;.
þæim;þeim
com;kom
i;í
mot;mót
Þorkell;Þorkell
hafe;hái
broðer;bróðir
Sigvallda;Sigvalda
.;.
I;Í
utanværðum;utanverðum
arme;armi
fylkingar;fylkingar
lagðe;lagði
fram;fram
sit;sitt
skip;skip
Svæinn;Sveinn
Haconar;Hákonar
sunr;sonur
oc;og
með;með
hanum;honum
Gizor;Gissur
hviti;hvíti
lænndr;lendur
maðr;maður
ofan;ofan
af;af
Valldrese;Valdresi
.;.
oc;og
Þorkæll;Þorkell
læira;leira
æzkaðr;ættaður
or;úr
Vik;Vík
austan;austan
.;.
þesser;þessir
iii;þrír
hofðingiar;höfðingjar
hallda;halda
orrastu;örrustu
við;við
Vagn;Vagn
Akasun;Ákason
.;.
oc;og
var;var
þesse;þessi
hin;hin
harðasta;harðasta
orrasta;orrusta
oc;og
hin;hin
mesta;mesta
.;.
þesser;þessir
varo;voru
islænskir;íslenskir
menn;menn
með;með
Hacone;Hákoni
iarle;jarli
Skumr;Skúmur
oc;og
Þorðr;Þórður
er;er
kallaðr;kallaður
var;var
aurvondr;örvendur
.;.
synir;synir
Þorkæls;Þorkells
auðga;auðuga
vestan;vestan
af;af
Myrum;Mýrum
i;í
Dyrafyrði;Dýrafirði
.;.
oc;og
Vigfus;Vigfús
Vigaglums;Vígaglúms
sunr;sonur
Tinndr;Tindur
Hallkællz;Hallkells
sun;son
.;.
hann;hann
orte;orti
drapo;drápu
um;um
Hacon;Hákon
iarll;jarl
.;.
oc;og
i;í
þæirri;þeirri
drapo;drápu
er;er
mart;margt
sagt;sagt
fra;frá
Iomsvikinga;Jómsvíkinga
orrastu;orrustu
.;.
Fra;Frá
þessa;þessa
manna;manna
orðom;orðum
hafa;hafa
menn;menn
a;á
þui;því
lannde;landi
minni;minni
haft;haft
fra;frá
þessom;þessum
tiðendum;tíðindum
.;.
sumt;sumt
með;með
kveðskap;kveðskap
en;en
sumt;sumt
með;með
annarre;annarri
frasagu;frásögu
.;.
Vigfus;Vigfús
orte;orti
þetta;þetta
aðr;áður
en;en
barz;barist
være;væri
oc;og
svæið;sveið
hann;hann
klubbu;klubbu
æina;eina
.;.
þa;þá
spurði;spurði
Hacon;Hákon
iarl;jarl
hvat;hvað
þat;það
skylldi;skyldi
.;.
hann;hann
svaraðe;svaraði
a;á
þessa;þessa
lunnd;lund
.;.
Þesse;Þessi
orrasta;orrusta
hæfir;hefur
veret;verið
agiæt;ágæt
miok;mjög
.;.
oc;og
alldrigi;aldrei
hafa;hafa
Daner;Danir
þuilican;þvílíkan
barðaga;bardaga
att;átt
við;við
Norðmenn;Norðmenn
fyrr;fyrr
ne;né
siðan;síðar
firir;fyrir
þui;því
at;að
þæir;þeir
hofðu;höfðu
mæir;meira
lið;lið
en;en
holfu;hálfu
minna;minna
.;.
En;En
langa;langa
rið;hríð
hafðu;höfðu
þæir;þeir
bætr;betur
.;.
oc;og
a;á
homlu;hömlu
let;lét
siga;síga
Svæinn;Sveinn
Haconar;Hákonar
sunr;sonur
oc;og
hans;hans
menn;menn
firir;fyrir
Vagne;Vagni
.;.
oc;og
var;var
þa;þá
at;að
comet;komið
flotta;flótta
aðr;áður
en;en
Æirikr;Eiríkur
iarll;jarl
lagðe;lagði
til;til
